SR No.,Movie Names,Votes,Genre,Movie Certificate,Gross
1,The Witcher,542677,Action  Adventure  Drama,TV-MA,--
2,Twisted Metal,8382,Action  Adventure  Comedy,--,--
3,Guardians of the Galaxy Vol. 3,262685,Action  Adventure  Comedy,PG-13,--
4,Teenage Mutant Ninja Turtles: Mutant Mayhem,8640,Animation  Action  Adventure,PG,--
5,Meg 2: The Trench,8788,Action  Adventure  Horror,PG-13,--
6,Mission: Impossible - Dead Reckoning Part One,117960,Action  Adventure  Thriller,PG-13,--
7,Sound of Freedom,45408,Action  Biography  Drama,PG-13,--
8,Special Ops: Lioness,5184,Action  Drama  Thriller,TV-MA,--
9,Star Trek: Strange New Worlds,47423,Action  Adventure  Sci-Fi,TV-PG,--
10,Hidden Strike,8880,Action  Adventure  Comedy,TV-14,--
11,Secret Invasion,48341,Action  Adventure  Drama,TV-14,--
12,Game of Thrones,2189863,Action  Adventure  Drama,TV-MA,--
13,Transformers: Rise of the Beasts,67251,Action  Adventure  Sci-Fi,PG-13,--
14,They Cloned Tyrone,19443,Action  Comedy  Mystery,R,--
15,Tom Clancy's Jack Ryan,162090,Action  Drama  Thriller,TV-MA,--
16,Paradise,6604,Action  Sci-Fi  Thriller,TV-MA,--
17,Loki,349984,Action  Adventure  Fantasy,TV-14,--
18,The Flash,133561,Action  Adventure  Fantasy,PG-13,--
19,The Boys,573156,Action  Comedy  Crime,TV-MA,--
20,One Piece,167672,Animation  Action  Adventure,TV-14,--
21,The Meg,188038,Action  Horror  Sci-Fi,PG-13,$143.01M
22,Justified,109638,Action  Crime  Drama,TV-MA,--
23,Sympathy for the Devil,2678,Action  Thriller,--,--
24,Indiana Jones and the Dial of Destiny,90984,Action  Adventure,PG-13,--
25,Spider-Man: Across the Spider-Verse,202029,Animation  Action  Adventure,PG,--
26,Miraculous: Ladybug & Cat Noir the Movie,3170,Animation  Action  Adventure,PG,--
27,John Wick: Chapter 4,257034,Action  Crime  Thriller,R,--
28,The Covenant,100086,Action  Thriller  War,R,--
29,The Rookie,54603,Action  Crime  Drama,TV-14,--
30,Invincible,160866,Animation  Action  Adventure,TV-MA,--
31,Warrior,32625,Action  Crime  Drama,TV-MA,--
32,Jujutsu Kaisen,79028,Animation  Action  Adventure,TV-MA,--
33,Inception,2448563,Action  Adventure  Sci-Fi,PG-13,$292.58M
34,The Last of Us,445155,Action  Adventure  Drama,TV-MA,--
35,The Out-Laws,25958,Action  Comedy  Crime,R,--
36,The Dark Knight,2758082,Action  Crime  Drama,PG-13,$534.86M
37,Attack on Titan,424989,Animation  Action  Adventure,TV-MA,--
38,Avatar: The Way of Water,445061,Action  Adventure  Fantasy,PG-13,$659.68M
39,Dungeons & Dragons: Honor Among Thieves,162000,Action  Adventure  Comedy,PG-13,--
40,Dunkirk,701459,Action  Drama  History,PG-13,$188.37M
41,NCIS,155943,Action  Crime  Drama,TV-14,--
42,Tenet,549382,Action  Sci-Fi  Thriller,PG-13,$58.46M
43,Dune,702936,Action  Adventure  Drama,PG-13,$108.33M
44,Gran Turismo,1020,Action  Adventure  Drama,PG-13,--
45,Blue Beetle,--,Action  Adventure  Sci-Fi,PG-13,--
46,One Piece,--,Action  Adventure  Comedy,TV-14,--
47,Fast X,85181,Action  Adventure  Crime,PG-13,--
48,House of the Dragon,336248,Action  Adventure  Drama,TV-MA,--
49,Sisu,49523,Action  War,R,--
50,Top Gun: Maverick,619013,Action  Drama,PG-13,$718.73M
